pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl24cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb23cd
"AL4 9LT","AL4  9LT","AL4 9LT","198001","","0","516098","0209115","1","E00120397","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","5A2",51.768689,-0.318885,"E37000048","","E23000027",24396,"E54000025"
"AL4 9LU","AL4  9LU","AL4 9LU","198001","","0","516009","0208974","1","E00120397","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","5A2",51.767440,-0.320221,"E37000048","","E23000027",24396,"E54000025"
"AL4 9LW","AL4  9LW","AL4 9LW","198001","","0","515973","0209523","1","E00120526","E10000015","E58000625","E07000240","E05013962","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023736","E02004930","E33027426","E38000079","E63999999","RSN1","1B2",51.772382,-0.320559,"E37000048","","E23000027",22903,"E54000025"
"AL4 9LX","AL4  9LX","AL4 9LX","198001","","0","516086","0208986","1","E00120397","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","5A2",51.767532,-0.319102,"E37000048","","E23000027",24396,"E54000025"
"AL4 9LY","AL4  9LY","AL4 9LY","198001","","0","516093","0209018","1","E00120397","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","5A2",51.767818,-0.318990,"E37000048","","E23000027",24396,"E54000025"
"AL4 9LZ","AL4  9LZ","AL4 9LZ","198001","","0","516155","0209088","1","E00120397","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","5A2",51.768434,-0.318068,"E37000048","","E23000027",24396,"E54000025"
"AL4 9NA","AL4  9NA","AL4 9NA","198001","","0","516196","0209089","1","E00120399","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","8D2",51.768435,-0.317474,"E37000048","","E23000027",24396,"E54000025"
"AL4 9NB","AL4  9NB","AL4 9NB","198001","","0","516262","0209107","1","E00120399","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","8D2",51.768583,-0.316512,"E37000048","","E23000027",24396,"E54000025"
"AL4 9ND","AL4  9ND","AL4 9ND","198001","","0","516343","0209131","1","E00120399","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","8D2",51.768782,-0.315331,"E37000048","","E23000027",24396,"E54000025"
"AL4 9NE","AL4  9NE","AL4 9NE","198001","","0","516382","0209135","1","E00120399","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","8D2",51.768810,-0.314764,"E37000048","","E23000027",24396,"E54000025"
"AL4 9NF","AL4  9NF","AL4 9NF","198001","","0","516260","0209013","1","E00120399","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","8D2",51.767739,-0.316572,"E37000048","","E23000027",24396,"E54000025"
"AL4 9NG","AL4  9NG","AL4 9NG","198001","","0","516197","0208964","1","E00120399","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","8D2",51.767311,-0.317501,"E37000048","","E23000027",24396,"E54000025"
"AL4 9NH","AL4  9NH","AL4 9NH","198109","","1","515971","0209280","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.770198,-0.320669,"E37000048","","E23000027",32585,"E54000025"
